num_layers,lr,batch_size,opt_name,img_size,test_accuracy,epochs_run
2,0.05,32,adam,4,0.3359375,3000
3,0.05,32,adam,4,0.4609375,3000
4,0.05,32,adam,4,0.9609375,3000
5,0.05,32,adam,4,0.5,3000
6,0.05,32,adam,4,0.6875,3000
7,0.05,32,adam,4,0.5,3000
8,0.05,32,adam,4,0.3203125,3000
9,0.05,32,adam,4,0.9609375,3000
10,0.05,32,adam,4,0.453125,3000
11,0.05,32,adam,4,0.4609375,3000
12,0.05,32,adam,4,0.4609375,3000
13,0.05,32,adam,4,0.9609375,3000
14,0.05,32,adam,4,0.453125,3000
15,0.05,32,adam,4,0.4609375,3000
16,0.05,32,adam,4,0.953125,3000
17,0.05,32,adam,4,0.9609375,3000
18,0.05,32,adam,4,0.453125,3000
19,0.05,32,adam,4,0.296875,3000
20,0.05,32,adam,4,0.5,3000
