num_layers,lr,batch_size,img_size,test_accuracy,epochs_run
1,0.05,32,32,0.921875,10000
2,0.05,32,32,0.8984375,10000
3,0.05,32,32,0.9375,10000
4,0.05,32,32,0.9296875,10000
5,0.05,32,32,0.9296875,10000
6,0.05,32,32,0.9296875,10000
7,0.05,32,32,0.921875,10000
8,0.05,32,32,0.921875,10000
9,0.05,32,32,0.921875,10000
10,0.05,32,32,0.921875,10000
11,0.05,32,32,0.9296875,10000
12,0.05,32,32,0.9140625,10000
13,0.05,32,32,0.9140625,10000
14,0.05,32,32,0.859375,10000
15,0.05,32,32,0.8515625,10000
16,0.05,32,32,0.859375,10000
17,0.05,32,32,0.890625,10000
18,0.05,32,32,0.8671875,10000
19,0.05,32,32,0.828125,10000
20,0.05,32,32,0.859375,10000
