num_layers,lr,batch_size,opt_name,img_size,test_accuracy,epochs_run
3,0.001,16,adam,4,0.7109375,1000
3,0.001,32,adam,4,0.71875,1000
3,0.001,64,adam,4,0.7109375,1000
3,0.01,16,adam,4,0.7109375,1000
3,0.01,32,adam,4,0.7265625,1000
3,0.01,64,adam,4,0.734375,1000
3,0.05,16,adam,4,0.7421875,1000
3,0.05,32,adam,4,0.71875,1000
3,0.05,64,adam,4,0.75,1000
3,0.1,16,adam,4,0.7421875,1000
3,0.1,32,adam,4,0.7578125,1000
3,0.1,64,adam,4,0.703125,1000
5,0.001,16,adam,4,0.6640625,1000
5,0.001,32,adam,4,0.609375,1000
5,0.001,64,adam,4,0.6171875,1000
5,0.01,16,adam,4,0.65625,1000
5,0.01,32,adam,4,0.6484375,1000
5,0.01,64,adam,4,0.671875,1000
5,0.05,16,adam,4,0.6640625,1000
5,0.05,32,adam,4,0.6640625,1000
5,0.05,64,adam,4,0.625,1000
5,0.1,16,adam,4,0.671875,1000
5,0.1,32,adam,4,0.671875,1000
5,0.1,64,adam,4,0.625,1000
7,0.001,16,adam,4,0.71875,1000
7,0.001,32,adam,4,0.7109375,1000
7,0.001,64,adam,4,0.703125,1000
7,0.01,16,adam,4,0.7109375,1000
7,0.01,32,adam,4,0.6875,1000
7,0.01,64,adam,4,0.7265625,1000
7,0.05,16,adam,4,0.7421875,1000
7,0.05,32,adam,4,0.7109375,1000
7,0.05,64,adam,4,0.71875,1000
7,0.1,16,adam,4,0.7421875,1000
7,0.1,32,adam,4,0.6953125,1000
7,0.1,64,adam,4,0.6640625,1000
10,0.001,16,adam,4,0.5703125,1000
10,0.001,32,adam,4,0.546875,1000
10,0.001,64,adam,4,0.5390625,1000
10,0.01,16,adam,4,0.5625,1000
10,0.01,32,adam,4,0.5859375,1000
10,0.01,64,adam,4,0.625,1000
10,0.05,16,adam,4,0.625,1000
10,0.05,32,adam,4,0.625,1000
10,0.05,64,adam,4,0.6015625,1000
10,0.1,16,adam,4,0.609375,1000
10,0.1,32,adam,4,0.65625,1000
10,0.1,64,adam,4,0.59375,1000
15,0.001,16,adam,4,0.65625,1000
15,0.001,32,adam,4,0.6796875,1000
15,0.001,64,adam,4,0.671875,1000
15,0.01,16,adam,4,0.6484375,1000
15,0.01,32,adam,4,0.6171875,1000
15,0.01,64,adam,4,0.6328125,1000
15,0.05,16,adam,4,0.640625,1000
15,0.05,32,adam,4,0.6640625,1000
15,0.05,64,adam,4,0.6484375,1000
15,0.1,16,adam,4,0.6328125,1000
15,0.1,32,adam,4,0.6328125,1000
15,0.1,64,adam,4,0.640625,1000
20,0.001,16,adam,4,0.734375,1000
20,0.001,32,adam,4,0.7109375,1000
20,0.001,64,adam,4,0.671875,1000
20,0.01,16,adam,4,0.734375,1000
20,0.01,32,adam,4,0.7109375,1000
20,0.01,64,adam,4,0.7265625,1000
20,0.05,16,adam,4,0.71875,1000
20,0.05,32,adam,4,0.734375,1000
20,0.05,64,adam,4,0.7265625,1000
20,0.1,16,adam,4,0.71875,1000
20,0.1,32,adam,4,0.734375,1000
20,0.1,64,adam,4,0.7578125,1000
